Campaign ID,Campaign name,Campaign status,Paid impressions,Paid Pin clicks,Spend in account currency,Pin clicks,Impressions,Conversions,Total conversions (Checkout),Total order value (Checkout),Date
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,19,0,0.2,0,19,0,0,0.0,2025-11-24
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,152,2,1.86,2,152,18,0,0.0,2025-11-25
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,581,4,25.98,4,581,40,0,0.0,2025-11-26
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,1506,3,121.11,3,1506,101,0,0.0,2025-11-27
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,4529,24,375.0,24,4529,476,2,1940.0,2025-11-28
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,5717,34,375.0,34,5717,248,1,590.0,2025-11-29
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,5889,25,309.0,25,5889,158,0,0.0,2025-11-30
C626755499613,TNT_CVR_Retargeting_SiteVisitors,RUNNING,5176,31,233.43,31,5176,0,0,0.0,2025-12-01
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,281,1,1.3,1,281,2,0,0.0,2025-07-16
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,82027,612,260.92,613,82036,2256,0,0.0,2025-07-17
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,54422,375,118.61,375,54426,1425,2,1040.0,2025-07-18
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,42253,307,88.63,308,42277,1121,0,0.0,2025-07-19
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,13262,139,118.45,139,13274,1172,1,450.0,2025-07-20
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,14714,139,117.86,139,14715,1465,0,0.0,2025-07-21
C626755902381,TNT_CVR_Retargeting_Catalog,RUNNING,10203,95,86.26,95,10204,1275,1,650.0,2025-07-22
